price,mileage,engType,year,model
3300,350,Diesel,1995,Discovery
3500,200,Petrol,2003,Freelander
3550,255,Diesel,2001,Discovery
3700,124,Petrol,2005,Freelander
3900,290,Diesel,1998,Range Rover
6600,298,Diesel,1997,Discovery
6900,167,Gas,2003,Freelander
7000,190,Diesel,2004,Discovery
7800,355,Diesel,2003,Range Rover
8900,295,Gas,2000,Range Rover
11000,270,Diesel,1996,Range Rover
12999,164,Diesel,2008,Range Rover Sport
14000,230,Diesel,2007,Range Rover
14900,111,Diesel,2007,Freelander
15900,189,Petrol,2007,Freelander
16500,213,Diesel,2006,Discovery
16700,240,Petrol,2005,Discovery
17000,188,Diesel,2007,Freelander
19500,169,Gas,2007,Range Rover Sport
19999,106,Gas,2005,Range Rover Sport
21000,136,Diesel,2010,Freelander
22000,240,Petrol,2003,Range Rover
22500,168,Diesel,2007,Range Rover Sport
22999,167,Gas,2006,Range Rover Evoque
23000,140,Diesel,2007,Range Rover Sport
24777,198,Gas,2008,Range Rover
25000,175,Gas,2007,Range Rover
25300,127,Diesel,2007,Range Rover
26500,260,Gas,2008,Range Rover
